Adresse;StimmArt;Bezirk;Bezirksname;WBezArt;Wahlbezirk;Briefwahlbezirk;AghWkr;BunWkr;OstWest;Datum;Zeit;WberIns;WberA1;WberA1p;WberA2;WberA2p;WberA3;WberA3p;Waehler;Waehlerp;Wahlsch;Wahlschp;Gueltig;Gueltigp;Unguelt;Ungueltp;P01;P01p;P02;P02p;P03;P03p;P04;P04p;P05;P05p;P06;P06p;P07;P07p;P08;P08p;P09;P09p;P10;P10p;P11;P11p;P12;P12p;P13;P13p;P14;P14p;P15;P15p;P16;P16p;P17;P17p;P18;P18p;P19;P19p;P20;P20p;P21;P21p;P22;P22p;P23;P23p;P24;P24p;P25;P25p;P26;P26p;P27;P27p;P28;P28p;P29;P29p;P30;P30p;P31;P31p;P32;P32p;P33;P33p;P34;P34p;P35;P35p;P36;P36p;P37;P37p;P38;P38p;P39;P39p;P40;P40p;P41;P41p;P42;P42p;P43;P43p;P44;P44p;P45;P45p;P46;P46p;P47;P47p;P48;P48p;P49;P49p;P50;P50p;P51;P51p;P52;P52p;P53;P53p;P54;P54p;P55;P55p;P56;P56p;P57;P57p;P58;P58p;P59;P59p;P60;P60p;aufn;Hinweis
08W519;2;08;*Neukölln;W;519;085N;05;82;W;24.02.12;01:17:27;1020;555;54,4;465;45,6;0;0,0;374;36,7;0;0,0;362;96,8;12;3,2;89;24,6;15;4,1;100;27,6;30;8,3;44;12,2;50;13,8;5;1,4;12;3,3;1;0,3;1;0,3;6;1,7;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;6;1,7;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;
08W520;2;08;*Neukölln;W;520;085P;05;82;W;24.02.12;01:17:27;948;533;56,2;415;43,8;0;0,0;406;42,8;0;0,0;395;97,3;11;2,7;107;27,1;9;2,3;111;28,1;43;10,9;47;11,9;52;13,2;2;0,5;8;2,0;0;0,0;4;1,0;3;0,8;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,3;8;2,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;
08W521;2;08;*Neukölln;W;521;085Q;05;82;W;24.02.12;01:17:27;931;442;47,5;489;52,5;0;0,0;335;36,0;0;0,0;329;98,2;6;1,8;95;28,9;4;1,2;90;27,4;39;11,9;30;9,1;49;14,9;1;0,3;2;0,6;0;0,0;2;0,6;5;1,5;0;0,0;0;0,0;2;0,6;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,3;0;0,0;8;2,4;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;
08W522;2;08;*Neukölln;W;522;085R;05;82;W;24.02.12;01:17:27;902;528;58,5;374;41,5;0;0,0;387;42,9;0;0,0;379;97,9;8;2,1;96;25,3;12;3,2;91;24,0;57;15,0;44;11,6;41;10,8;5;1,3;14;3,7;2;0,5;2;0,5;2;0,5;1;0,3;0;0,0;0;0,0;0;0,0;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,3;9;2,4;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;
08W523;2;08;*Neukölln;W;523;085S;05;82;W;24.02.12;01:17:28;974;593;60,9;381;39,1;0;0,0;419;43,0;0;0,0;410;97,9;9;2,1;107;26,1;13;3,2;110;26,8;36;8,8;39;9,5;59;14,4;0;0,0;13;3,2;1;0,2;8;2,0;8;2,0;2;0,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;14;3,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;
08W524;2;08;*Neukölln;W;524;085T;05;82;W;24.02.12;01:17:28;918;649;70,7;269;29,3;0;0,0;374;40,7;0;0,0;368;98,4;6;1,6;84;22,8;20;5,4;98;26,6;33;9,0;54;14,7;25;6,8;3;0,8;21;5,7;2;0,5;5;1,4;0;0,0;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,3;1;0,3;18;4,9;2;0,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;
08W525;2;08;*Neukölln;W;525;085T;05;82;W;24.02.12;01:17:28;899;604;67,2;295;32,8;0;0,0;353;39,3;0;0,0;344;97,5;9;2,5;89;25,9;13;3,8;79;23,0;24;7,0;51;14,8;50;14,5;1;0,3;9;2,6;4;1,2;2;0,6;4;1,2;0;0,0;2;0,6;0;0,0;0;0,0;2;0,6;0;0,0;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;12;3,5;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;
08W526;2;08;*Neukölln;W;526;085U;05;82;W;24.02.12;01:17:28;977;597;61,1;380;38,9;0;0,0;433;44,3;0;0,0;420;97,0;13;3,0;116;27,6;13;3,1;101;24,0;40;9,5;49;11,7;45;10,7;3;0,7;16;3,8;1;0,2;9;2,1;5;1,2;2;0,5;2;0,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;16;3,8;2;0,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;
08W527;2;08;*Neukölln;W;527;085R;05;82;W;24.02.12;01:19:12;1027;649;63,2;378;36,8;0;0,0;366;35,6;0;0,0;343;93,7;23;6,3;91;26,5;12;3,5;113;32,9;20;5,8;44;12,8;34;9,9;3;0,9;10;2,9;0;0,0;2;0,6;2;0,6;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;1;0,3;0;0,0;0;0,0;1;0,3;0;0,0;0;0,0;9;2,6;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;
08W528;2;08;*Neukölln;W;528;085V;05;82;W;24.02.12;01:17:28;937;539;57,5;398;42,5;0;0,0;348;37,1;0;0,0;338;97,1;10;2,9;82;24,3;20;5,9;94;27,8;30;8,9;46;13,6;26;7,7;2;0,6;9;2,7;3;0,9;5;1,5;2;0,6;2;0,6;0;0,0;0;0,0;0;0,0;0;0,0;1;0,3;0;0,0;0;0,0;1;0,3;0;0,0;1;0,3;14;4,1;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;
